lookback,entry_z,exit_z,max_hold,cost_per_trade,slippage_pct,initial_capital,ending_capital,total_return,cagr,annual_vol,sharpe,max_drawdown
40,2.0,0.5,10,1.0,0.0001,10000.0,9944.136682701552,-0.005586331729844796,-0.0006236244651244283,0.0013300857090421706,-0.46834132765508374,-0.009260600732185048
60,2.0,1.0,10,1.0,0.0001,10000.0,9915.253980882902,-0.00847460191170979,-0.0009472754491927082,0.0011993510371993412,-0.7895966627780866,-0.008531953532865736
40,2.0,1.0,10,1.0,0.0001,10000.0,9915.351207976486,-0.008464879202351394,-0.0009461845466260943,0.0011540253498724862,-0.8197090218774493,-0.010238524791504278
60,2.0,0.5,10,1.0,0.0001,10000.0,9893.878503927965,-0.01061214960720358,-0.00118734259682729,0.0012425087787571484,-0.955545397009142,-0.010612149607203537
40,2.0,0.5,5,1.0,0.0001,10000.0,9868.973850830984,-0.013102614916901567,-0.0014676278042395907,0.0012839972506173843,-1.1432092179271798,-0.013102614916901621
40,1.5,0.5,10,1.0,0.0001,10000.0,9795.602847171443,-0.020439715282855597,-0.0022970383888401003,0.001921117890150515,-1.1960873680314414,-0.02261402621750167
60,1.5,0.5,10,1.0,0.0001,10000.0,9803.128148625554,-0.019687185137444607,-0.0022117162400071555,0.0016898904424674911,-1.3093914774263102,-0.02051667214622521
40,2.0,1.0,5,1.0,0.0001,10000.0,9849.534513978811,-0.015046548602118848,-0.0016868416508269979,0.0011800572587659568,-1.4300697325183682,-0.015046548602118855
60,1.5,1.0,10,1.0,0.0001,10000.0,9798.694173177317,-0.020130582682268305,-0.0022619817723374958,0.0015732870010399802,-1.4385779930240012,-0.020890118187722875
60,2.0,1.0,5,1.0,0.0001,10000.0,9837.643396798667,-0.01623566032013335,-0.0018211252006351542,0.0011762070984625622,-1.5491210911797417,-0.01623566032013332
60,2.0,0.5,5,1.0,0.0001,10000.0,9835.795407180512,-0.016420459281948796,-0.0018420070550537737,0.0011815799928868314,-1.559776670855414,-0.01642045928194875
40,1.5,1.0,10,1.0,0.0001,10000.0,9767.548219823517,-0.02324517801764836,-0.0026156370056672484,0.001658800131534376,-1.5780527852452673,-0.02409066768422399
40,1.5,0.5,5,1.0,0.0001,10000.0,9661.371807080759,-0.03386281929192414,-0.0038288246633945144,0.0018159013613458863,-2.111621048815529,-0.0338628192919241
60,1.5,0.5,5,1.0,0.0001,10000.0,9643.670164655605,-0.035632983534439555,-0.004032237588336041,0.0018853072480459622,-2.142133314534516,-0.03563298353443952
40,1.5,1.0,5,1.0,0.0001,10000.0,9651.609376881353,-0.03483906231186462,-0.003940965597429624,0.001758964432194291,-2.244032750130178,-0.034839062311864656
60,1.5,1.0,5,1.0,0.0001,10000.0,9637.319534181153,-0.03626804658188465,-0.004105294762732248,0.0018157845015028843,-2.2646203340316506,-0.036268046581884664
